city,name,po1,po2,po3,po4,po5,po6,po7,po8,po9,po10,dd1,dd2,dd3,dd4,dd5,dd6,dd7,dd8,dd9,dd10,hd1,hd2,hd3,hd4,hd5,hd6,hd7,hd8,hd9,hd10
shanghai--31,135 Yanping Road Jing'an District Shanghai 200042,"¥3,500/mo","¥13,000/mo","¥13,000/mo","¥19,600/mo","¥27,800/mo",Unavailable,n/a,n/a,"¥39,400/mo","¥39,400/mo","¥3,100/mo","¥6,200/mo",Unavailable,"¥15,000/mo","¥18,750/mo","¥22,500/mo",n/a,n/a,"¥33,750/mo","¥37,500/mo","¥2,300/mo","¥4,600/mo","¥6,900/mo","¥11,600/mo","¥14,500/mo","¥17,400/mo",n/a,n/a,Unavailable,Unavailable
shanghai--31,"Tower B, 838 S. Huangpi road Huangpu District Shanghai 200025","¥5,000/mo","¥14,000/mo","¥14,000/mo","¥13,000/mo","¥16,000/mo","¥18,000/mo",Unavailable,Unavailable,"¥44,000/mo","¥44,000/mo","¥2,900/mo","¥5,800/mo","¥8,700/mo",Unavailable,Unavailable,Unavailable,"¥26,250/mo","¥30,000/mo",Unavailable,Unavailable,"¥2,600/mo","¥5,200/mo","¥7,800/mo",Unavailable,Unavailable,Unavailable,"¥20,300/mo",Unavailable,Unavailable,Unavailable
shanghai--31,"328 Hunan Road, 1/F Xuhui Shanghai 200000","¥8,100/mo",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"¥2,500/mo",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"¥1,900/mo",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
shanghai--31,"32/F, Shinmay Union Square Building Phase 1 999 Pudong Rd (S.). Pudong Shanghai 200000","¥7,200/mo","¥7,200/mo","¥10,600/mo","¥14,000/mo","¥18,400/mo","¥18,400/mo",Unavailable,Unavailable,Unavailable,Unavailable,"¥2,300/mo","¥4,600/mo","¥6,900/mo","¥11,600/mo","¥14,500/mo","¥17,400/mo","¥20,300/mo","¥23,200/mo","¥26,100/mo","¥29,000/mo",Unavailable,Unavailable,Unavailable,"¥10,400/mo","¥13,000/mo","¥15,600/mo","¥18,200/mo","¥20,800/mo","¥23,400/mo","¥26,000/mo"
shanghai--31,"15F, HSBC Building, Shanghai ifc 8 Century Avenue, Pudong Shanghai 200120","¥10,800/mo","¥17,980/mo","¥32,900/mo","¥13,800/mo","¥24,400/mo","¥24,400/mo","¥31,800/mo","¥31,800/mo","¥35,000/mo","¥39,200/mo",Unavailable,Unavailable,Unavailable,"¥9,200/mo","¥11,500/mo","¥13,800/mo","¥16,100/mo","¥18,400/mo","¥20,700/mo","¥23,000/mo","¥5,500/mo","¥11,000/mo","¥16,500/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable
shanghai--31,"518 Xinjiang Lu, Floor 1-6 Shanghai 200085","¥6,200/mo","¥6,200/mo","¥8,800/mo","¥32,900/mo","¥58,900/mo","¥58,900/mo",Unavailable,Unavailable,"¥104,200/mo","¥104,200/mo","¥2,300/mo","¥4,600/mo","¥6,900/mo",Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,"¥1,800/mo","¥3,600/mo","¥5,400/mo","¥22,000/mo","¥27,500/mo","¥33,000/mo","¥38,500/mo","¥44,000/mo","¥49,500/mo","¥55,000/mo"
shanghai--31,"500 Guangdong Lu, World Trade Tower, 5/F Huangpu Shanghai 200085","¥2,800/mo","¥5,300/mo","¥9,300/mo","¥9,800/mo",Unavailable,"¥20,300/mo","¥20,300/mo","¥20,300/mo","¥22,900/mo","¥30,500/mo",Unavailable,Unavailable,Unavailable,"¥9,200/mo","¥11,500/mo","¥13,800/mo",Unavailable,Unavailable,Unavailable,Unavailable,"¥1,800/mo","¥3,600/mo","¥5,400/mo","¥7,200/mo","¥9,000/mo","¥10,800/mo","¥12,600/mo","¥14,400/mo","¥16,200/mo","¥18,000/mo"
shanghai--31,No. 1901 Huashan Lu Shanghai 200030,"¥3,650/mo","¥7,300/mo","¥13,200/mo","¥10,100/mo","¥17,700/mo","¥17,700/mo","¥19,800/mo","¥22,000/mo",n/a,n/a,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,n/a,n/a,"¥2,300/mo",Unavailable,Unavailable,"¥7,200/mo","¥9,000/mo","¥10,800/mo","¥12,600/mo","¥14,400/mo",n/a,n/a
shanghai--31,"370, Pudian Lu, Pudongxinqu, Shanghai Shanghai 200120",n/a,n/a,n/a,"¥13,200/mo","¥18,700/mo","¥18,700/mo","¥24,800/mo","¥24,800/mo","¥24,800/mo",Unavailable,n/a,n/a,n/a,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,n/a,n/a,n/a,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,"¥16,200/mo","¥18,000/mo"
shanghai--31,1600 Zhongshan W. Road Shanghai 200020,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
shanghai--31,"201 Century Ave, Shanghai Shanghai 200088","¥8,500/mo","¥8,500/mo","¥10,400/mo",n/a,n/a,n/a,n/a,n/a,n/a,n/a,Unavailable,Unavailable,Unavailable,n/a,n/a,n/a,n/a,n/a,n/a,n/a,"¥2,000/mo","¥4,000/mo","¥6,000/mo",n/a,n/a,n/a,n/a,n/a,n/a,n/a
shanghai--31,"399 Dong Chang Zhi Road, Hong Kou District, Shanghai shanghai 200040",n/a,n/a,n/a,"¥13,300/mo","¥16,400/mo","¥19,600/mo","¥22,300/mo","¥30,700/mo","¥31,800/mo","¥31,800/mo",n/a,n/a,n/a,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,Unavailable,n/a,n/a,n/a,"¥8,000/mo","¥10,000/mo","¥12,000/mo","¥14,000/mo","¥16,000/mo","¥18,000/mo","¥20,000/mo"
